Year,Month ,Plant,Customer ,Primary Market Code ,Material Type,Available Tons 
2021,April,Plant_1,Customer_305,Primary_Market_Code_17,Material_Type_12,14.84
2021,February,Plant_4,Customer_305,Primary_Market_Code_17,Material_Type_12,46.01
2021,December,Plant_1,Customer_305,Primary_Market_Code_19,Material_Type_1,0
2022,February,Plant_1,Customer_305,Primary_Market_Code_19,Material_Type_1,22.845
2021,March,Plant_4,Customer_305,Primary_Market_Code_1,Material_Type_1,0
2021,February,Plant_4,Customer_305,Primary_Market_Code_1,Material_Type_1,0
2020,May,Plant_2,Customer_66,Primary_Market_Code_17,Material_Type_12,893.453776
2021,August,Plant_2,Customer_66,Primary_Market_Code_17,Material_Type_12,712.5344439
2021,May,Plant_2,Customer_66,Primary_Market_Code_2,Material_Type_2,137.705
2021,August,Plant_2,Customer_66,Primary_Market_Code_2,Material_Type_2,16.3525
2020,April,Plant_2,Customer_66,Primary_Market_Code_2,Material_Type_2,365.4225
2022,January,Plant_2,Customer_66,Primary_Market_Code_8,Material_Type_2,0
2021,April,Plant_7,Customer_274,Primary_Market_Code_17,Material_Type_12,97.3568315
2022,January,Plant_7,Customer_274,Primary_Market_Code_17,Material_Type_12,405.7521679
2021,November,Plant_1,Customer_274,Primary_Market_Code_1,Material_Type_7,0
2021,May,Plant_7,Customer_274,Primary_Market_Code_1,Material_Type_7,21.2725
2021,August,Plant_1,Customer_274,Primary_Market_Code_1,Material_Type_1,0
2020,November,Plant_3,Customer_654,Primary_Market_Code_1,Material_Type_5,0
2021,March,Plant_3,Customer_654,Primary_Market_Code_1,Material_Type_5,0
2021,April,Plant_3,Customer_654,Primary_Market_Code_17,Material_Type_12,1.6357005
2020,March,Plant_3,Customer_272,Primary_Market_Code_6,Material_Type_6,30.97
2021,January,Plant_3,Customer_272,Primary_Market_Code_6,Material_Type_6,33.075
2021,July,Plant_3,Customer_272,Primary_Market_Code_6,Material_Type_6,12.81
2020,September,Plant_7,Customer_272,Primary_Market_Code_6,Material_Type_6,9.435
2021,July,Plant_3,Customer_640,Primary_Market_Code_2,Material_Type_5,12.2675
2021,August,Plant_3,Customer_640,Primary_Market_Code_2,Material_Type_5,0
2022,January,Plant_3,Customer_640,Primary_Market_Code_2,Material_Type_5,5.5975
2021,February,Plant_3,Customer_640,Primary_Market_Code_17,Material_Type_12,14.395
2020,July,Plant_3,Customer_640,Primary_Market_Code_17,Material_Type_12,22.23
2020,May,Plant_3,Customer_640,Primary_Market_Code_17,Material_Type_12,22.23
2020,November,Plant_3,Customer_640,Primary_Market_Code_17,Material_Type_12,14.395
2020,December,Plant_3,Customer_37,Primary_Market_Code_6,Material_Type_6,11.435
2021,April,Plant_3,Customer_37,Primary_Market_Code_6,Material_Type_6,0
2020,April,Plant_3,Customer_37,Primary_Market_Code_6,Material_Type_6,3.7075
2021,November,Plant_3,Customer_37,Primary_Market_Code_2,Material_Type_5,0
2021,February,Plant_3,Customer_37,Primary_Market_Code_3,Material_Type_5,5.455
2021,July,Plant_3,Customer_37,Primary_Market_Code_6,Material_Type_5,0
2021,December,Plant_3,Customer_37,Primary_Market_Code_6,Material_Type_5,6.895
2020,July,Plant_3,Customer_37,Primary_Market_Code_6,Material_Type_10,107.15
2021,October,Plant_7,Customer_37,Primary_Market_Code_6,Material_Type_10,5.335
2022,January,Plant_7,Customer_37,Primary_Market_Code_6,Material_Type_10,0
2021,August,Plant_7,Customer_37,Primary_Market_Code_10,Material_Type_10,0.945
2021,January,Plant_7,Customer_37,Primary_Market_Code_6,Material_Type_10,15.74
2020,October,Plant_3,Customer_37,Primary_Market_Code_6,Material_Type_10,18.195
2021,March,Plant_3,Customer_37,Primary_Market_Code_6,Material_Type_10,5.4
2021,October,Plant_3,Customer_37,Primary_Market_Code_6,Material_Type_10,17.95
2020,June,Plant_7,Customer_37,Primary_Market_Code_17,Material_Type_12,2677.770377
2020,May,Plant_3,Customer_37,Primary_Market_Code_17,Material_Type_12,296.5641643
2020,March,Plant_3,Customer_37,Primary_Market_Code_17,Material_Type_12,338.4787945
2021,January,Plant_7,Customer_37,Primary_Market_Code_17,Material_Type_12,2120.590343
2022,January,Plant_3,Customer_37,Primary_Market_Code_17,Material_Type_12,142.6444504
2021,July,Plant_3,Customer_37,Primary_Market_Code_17,Material_Type_12,110.1405567
2021,September,Plant_3,Customer_37,Primary_Market_Code_17,Material_Type_12,68.2419409
2020,October,Plant_7,Customer_37,Primary_Market_Code_17,Material_Type_12,2921.010967
2021,August,Plant_7,Customer_37,Primary_Market_Code_17,Material_Type_12,3591.107399
2020,September,Plant_7,Customer_37,Primary_Market_Code_17,Material_Type_12,2390.725321
2020,April,Plant_2,Customer_37,Primary_Market_Code_17,Material_Type_12,10.94
2021,February,Plant_7,Customer_37,Primary_Market_Code_6,Material_Type_7,6.9475
2022,February,Plant_7,Customer_37,Primary_Market_Code_6,Material_Type_7,49.9715
2020,September,Plant_3,Customer_37,Primary_Market_Code_3,Material_Type_7,2.27
2020,July,Plant_7,Customer_37,Primary_Market_Code_6,Material_Type_7,18.6215
2020,March,Plant_3,Customer_37,Primary_Market_Code_3,Material_Type_7,2.27
2021,April,Plant_2,Customer_37,Primary_Market_Code_6,Material_Type_1,2.3625
2020,September,Plant_7,Customer_37,Primary_Market_Code_6,Material_Type_1,4.6175
2021,May,Plant_7,Customer_37,Primary_Market_Code_6,Material_Type_1,0
2021,February,Plant_7,Customer_37,Primary_Market_Code_6,Material_Type_1,9.2525
2020,August,Plant_7,Customer_37,Primary_Market_Code_6,Material_Type_1,4.6175
2021,April,Plant_7,Customer_37,Primary_Market_Code_6,Material_Type_1,0
2021,August,Plant_7,Customer_37,Primary_Market_Code_3,Material_Type_1,0
2021,November,Plant_7,Customer_37,Primary_Market_Code_6,Material_Type_1,0
2022,February,Plant_7,Customer_37,Primary_Market_Code_3,Material_Type_1,0
2021,April,Plant_7,Customer_37,Primary_Market_Code_6,Material_Type_2,172.816
2021,May,Plant_7,Customer_37,Primary_Market_Code_6,Material_Type_2,371.176998
2020,May,Plant_7,Customer_37,Primary_Market_Code_3,Material_Type_2,12.775
2021,May,Plant_7,Customer_37,Primary_Market_Code_2,Material_Type_2,0
2021,August,Plant_7,Customer_37,Primary_Market_Code_2,Material_Type_2,0
2021,September,Plant_7,Customer_37,Primary_Market_Code_2,Material_Type_2,6.22
2020,June,Plant_7,Customer_37,Primary_Market_Code_3,Material_Type_2,7.295
2020,October,Plant_7,Customer_323,Primary_Market_Code_1,Material_Type_10,0
2020,April,Plant_7,Customer_323,Primary_Market_Code_17,Material_Type_12,120.8895
2020,December,Plant_7,Customer_323,Primary_Market_Code_17,Material_Type_12,27.3975
2021,April,Plant_7,Customer_323,Primary_Market_Code_17,Material_Type_12,24.6895
2022,February,Plant_8,Customer_1162,Primary_Market_Code_17,Material_Type_12,0.0636029
2021,April,Plant_3,Customer_210,Primary_Market_Code_2,Material_Type_6,2.6825
2021,March,Plant_3,Customer_210,Primary_Market_Code_2,Material_Type_6,1.365
2020,December,Plant_3,Customer_210,Primary_Market_Code_2,Material_Type_6,0
2021,June,Plant_3,Customer_210,Primary_Market_Code_2,Material_Type_6,0
2021,April,Plant_3,Customer_210,Primary_Market_Code_2,Material_Type_5,18.09
2021,October,Plant_3,Customer_210,Primary_Market_Code_2,Material_Type_5,4.93
2021,February,Plant_3,Customer_210,Primary_Market_Code_2,Material_Type_5,0.397
2021,February,Plant_7,Customer_210,Primary_Market_Code_17,Material_Type_12,86.71
2020,June,Plant_7,Customer_210,Primary_Market_Code_17,Material_Type_12,121.4085
2021,June,Plant_3,Customer_210,Primary_Market_Code_17,Material_Type_12,63.53170185
2021,August,Plant_3,Customer_210,Primary_Market_Code_17,Material_Type_12,115.0616703
2020,October,Plant_7,Customer_210,Primary_Market_Code_17,Material_Type_12,50.1555
2020,November,Plant_3,Customer_210,Primary_Market_Code_17,Material_Type_12,26.5379327
2020,July,Plant_3,Customer_210,Primary_Market_Code_17,Material_Type_12,22.9755802
2020,May,Plant_7,Customer_210,Primary_Market_Code_2,Material_Type_1,55.8675
2020,October,Plant_6,Customer_307,Primary_Market_Code_2,Material_Type_6,0
2020,September,Plant_6,Customer_307,Primary_Market_Code_2,Material_Type_6,0
2020,May,Plant_6,Customer_307,Primary_Market_Code_2,Material_Type_6,21.163
2021,February,Plant_6,Customer_307,Primary_Market_Code_17,Material_Type_12,379.53
2020,August,Plant_6,Customer_307,Primary_Market_Code_2,Material_Type_12,40.2875
2021,January,Plant_6,Customer_307,Primary_Market_Code_2,Material_Type_12,67.0545
2021,July,Plant_6,Customer_307,Primary_Market_Code_2,Material_Type_12,42.645
2021,May,Plant_10,Customer_798,Primary_Market_Code_17,Material_Type_11,0.2354712
2021,March,Plant_6,Customer_75,Primary_Market_Code_5,Material_Type_5,7.6465
2021,April,Plant_6,Customer_75,Primary_Market_Code_5,Material_Type_5,7.6465
2021,September,Plant_6,Customer_75,Primary_Market_Code_5,Material_Type_5,6.012
2020,June,Plant_7,Customer_75,Primary_Market_Code_13,Material_Type_10,130.2975
2020,October,Plant_7,Customer_75,Primary_Market_Code_5,Material_Type_10,316.3025
2020,December,Plant_7,Customer_75,Primary_Market_Code_17,Material_Type_12,3118.805589
2020,June,Plant_7,Customer_75,Primary_Market_Code_17,Material_Type_12,1073.645562
2022,February,Plant_7,Customer_75,Primary_Market_Code_17,Material_Type_12,1225.305534
2020,July,Plant_7,Customer_170,Primary_Market_Code_26,Material_Type_12,823.6005
2020,December,Plant_7,Customer_170,Primary_Market_Code_26,Material_Type_12,78.72
2021,November,Plant_7,Customer_170,Primary_Market_Code_26,Material_Type_12,62.711
2021,October,Plant_7,Customer_170,Primary_Market_Code_26,Material_Type_12,108.6835
2021,September,Plant_7,Customer_170,Primary_Market_Code_26,Material_Type_12,172.723
2021,September,Plant_7,Customer_170,Primary_Market_Code_17,Material_Type_12,43.8235
2021,July,Plant_7,Customer_170,Primary_Market_Code_17,Material_Type_12,21.464
2021,December,Plant_7,Customer_170,Primary_Market_Code_17,Material_Type_12,28.9325
2020,July,Plant_1,Customer_170,Primary_Market_Code_26,Material_Type_12,19.2595
2020,March,Plant_1,Customer_170,Primary_Market_Code_2,Material_Type_2,38.93
2020,May,Plant_2,Customer_155,Primary_Market_Code_2,Material_Type_8,144.81
2021,February,Plant_2,Customer_155,Primary_Market_Code_2,Material_Type_8,15.9155
2021,January,Plant_2,Customer_155,Primary_Market_Code_2,Material_Type_8,63.267
2021,October,Plant_2,Customer_155,Primary_Market_Code_2,Material_Type_8,9.564
2021,December,Plant_2,Customer_155,Primary_Market_Code_2,Material_Type_8,1.1275
2021,September,Plant_2,Customer_155,Primary_Market_Code_2,Material_Type_8,8.4365
2021,March,Plant_2,Customer_155,Primary_Market_Code_17,Material_Type_12,302.3565
2020,November,Plant_2,Customer_155,Primary_Market_Code_17,Material_Type_12,205.974
2020,December,Plant_2,Customer_155,Primary_Market_Code_17,Material_Type_12,269.6905
2021,September,Plant_2,Customer_155,Primary_Market_Code_17,Material_Type_12,182.211
2021,February,Plant_2,Customer_155,Primary_Market_Code_17,Material_Type_12,90.8665
2022,February,Plant_8,Customer_1206,Primary_Market_Code_17,Material_Type_12,0.0636029
2020,May,Plant_7,Customer_51,Primary_Market_Code_17,Material_Type_12,1048.878
2020,May,Plant_7,Customer_51,Primary_Market_Code_6,Material_Type_12,44.944494
2021,June,Plant_7,Customer_51,Primary_Market_Code_6,Material_Type_12,65.084
2020,August,Plant_7,Customer_51,Primary_Market_Code_6,Material_Type_7,101.8386935
2020,November,Plant_7,Customer_51,Primary_Market_Code_6,Material_Type_7,120.705
2021,February,Plant_7,Customer_51,Primary_Market_Code_6,Material_Type_1,198.945
2022,January,Plant_7,Customer_51,Primary_Market_Code_6,Material_Type_1,115.375
2021,September,Plant_7,Customer_51,Primary_Market_Code_6,Material_Type_1,45.28
2020,August,Plant_7,Customer_51,Primary_Market_Code_6,Material_Type_1,47.25
2021,February,Plant_1,Customer_908,Primary_Market_Code_17,Material_Type_12,11.337423
2021,August,Plant_1,Customer_908,Primary_Market_Code_17,Material_Type_12,0.99712
2022,February,Plant_15,Customer_908,Primary_Market_Code_17,Material_Type_12,0.175098
2021,April,Plant_3,Customer_159,Primary_Market_Code_2,Material_Type_6,21.3125
2021,June,Plant_3,Customer_159,Primary_Market_Code_2,Material_Type_6,8.9
2020,May,Plant_3,Customer_159,Primary_Market_Code_2,Material_Type_6,209.814535
2020,March,Plant_3,Customer_159,Primary_Market_Code_2,Material_Type_6,109.99
2020,March,Plant_6,Customer_159,Primary_Market_Code_2,Material_Type_6,54.4
2021,September,Plant_3,Customer_159,Primary_Market_Code_2,Material_Type_5,9.00731175
2020,November,Plant_3,Customer_159,Primary_Market_Code_2,Material_Type_5,3.186348
2021,June,Plant_3,Customer_159,Primary_Market_Code_2,Material_Type_5,19.9825
2020,November,Plant_6,Customer_159,Primary_Market_Code_2,Material_Type_5,5.108
2020,May,Plant_6,Customer_159,Primary_Market_Code_2,Material_Type_5,5.108
2020,December,Plant_6,Customer_159,Primary_Market_Code_2,Material_Type_5,5.108
2020,March,Plant_6,Customer_159,Primary_Market_Code_17,Material_Type_12,176.5960642
2021,April,Plant_3,Customer_159,Primary_Market_Code_17,Material_Type_12,282.3259093
2020,September,Plant_3,Customer_159,Primary_Market_Code_17,Material_Type_12,516.7338261
2020,October,Plant_6,Customer_159,Primary_Market_Code_17,Material_Type_12,11.1525463
2021,February,Plant_4,Customer_206,Primary_Market_Code_26,Material_Type_12,5.735
2020,November,Plant_4,Customer_206,Primary_Market_Code_17,Material_Type_12,190.873
2021,April,Plant_4,Customer_206,Primary_Market_Code_17,Material_Type_12,46.63
2021,September,Plant_4,Customer_206,Primary_Market_Code_17,Material_Type_12,22.48
2020,May,Plant_4,Customer_206,Primary_Market_Code_11,Material_Type_1,88.5625
2020,July,Plant_4,Customer_206,Primary_Market_Code_11,Material_Type_1,9.2
2021,October,Plant_4,Customer_206,Primary_Market_Code_11,Material_Type_1,23.01
2020,August,Plant_4,Customer_206,Primary_Market_Code_11,Material_Type_1,32.06
2021,January,Plant_1,Customer_383,Primary_Market_Code_17,Material_Type_12,1.4876022
2021,October,Plant_1,Customer_383,Primary_Market_Code_17,Material_Type_12,1.5654144
2020,November,Plant_6,Customer_53,Primary_Market_Code_9,Material_Type_6,6.922
2021,November,Plant_6,Customer_53,Primary_Market_Code_9,Material_Type_6,84.007
2021,August,Plant_6,Customer_53,Primary_Market_Code_17,Material_Type_12,45.4395
2021,June,Plant_3,Customer_296,Primary_Market_Code_2,Material_Type_5,1.39
2021,December,Plant_3,Customer_296,Primary_Market_Code_2,Material_Type_5,10.805
2021,August,Plant_3,Customer_296,Primary_Market_Code_2,Material_Type_5,26.1925
2021,September,Plant_3,Customer_296,Primary_Market_Code_2,Material_Type_5,12.7075
2020,October,Plant_6,Customer_296,Primary_Market_Code_2,Material_Type_5,1.5775
2021,November,Plant_6,Customer_296,Primary_Market_Code_2,Material_Type_5,32.1335
2020,November,Plant_6,Customer_296,Primary_Market_Code_2,Material_Type_5,15.4045
2021,June,Plant_6,Customer_296,Primary_Market_Code_2,Material_Type_5,0
2021,December,Plant_6,Customer_296,Primary_Market_Code_2,Material_Type_5,18.1
2020,July,Plant_3,Customer_296,Primary_Market_Code_2,Material_Type_5,14.6975
2021,May,Plant_6,Customer_296,Primary_Market_Code_17,Material_Type_12,28.7038528
2021,October,Plant_6,Customer_296,Primary_Market_Code_17,Material_Type_12,18.55769895
2020,June,Plant_3,Customer_296,Primary_Market_Code_17,Material_Type_12,60.58
2021,March,Plant_3,Customer_296,Primary_Market_Code_17,Material_Type_12,187.01
2021,November,Plant_3,Customer_296,Primary_Market_Code_17,Material_Type_12,67.89
2021,August,Plant_3,Customer_296,Primary_Market_Code_17,Material_Type_12,118.3
2021,February,Plant_3,Customer_296,Primary_Market_Code_26,Material_Type_12,23.925
2020,September,Plant_3,Customer_296,Primary_Market_Code_26,Material_Type_12,40.5055
2021,August,Plant_3,Customer_296,Primary_Market_Code_26,Material_Type_12,36.605
2021,November,Plant_7,Customer_16,Primary_Market_Code_1,Material_Type_3,49.9675
2021,April,Plant_7,Customer_16,Primary_Market_Code_1,Material_Type_3,60.6725
2020,April,Plant_1,Customer_16,Primary_Market_Code_1,Material_Type_3,4.7875
2020,December,Plant_1,Customer_16,Primary_Market_Code_1,Material_Type_3,4.7925
2020,October,Plant_1,Customer_16,Primary_Market_Code_1,Material_Type_3,27.4875
2022,January,Plant_7,Customer_16,Primary_Market_Code_1,Material_Type_3,12.735
2021,December,Plant_7,Customer_16,Primary_Market_Code_1,Material_Type_3,35.675
2020,May,Plant_1,Customer_16,Primary_Market_Code_1,Material_Type_4,706.268668
2021,August,Plant_1,Customer_16,Primary_Market_Code_1,Material_Type_4,329.4572889
2021,July,Plant_1,Customer_16,Primary_Market_Code_1,Material_Type_4,124.7813183
2020,October,Plant_1,Customer_16,Primary_Market_Code_17,Material_Type_12,2597.634308
2021,November,Plant_1,Customer_16,Primary_Market_Code_17,Material_Type_12,5284.612458
2021,July,Plant_1,Customer_16,Primary_Market_Code_17,Material_Type_12,4201.695366
2020,June,Plant_7,Customer_16,Primary_Market_Code_17,Material_Type_12,219.7695907
2020,December,Plant_1,Customer_16,Primary_Market_Code_17,Material_Type_12,2064.365606
2021,April,Plant_7,Customer_16,Primary_Market_Code_17,Material_Type_12,72.3425
2020,November,Plant_7,Customer_16,Primary_Market_Code_17,Material_Type_12,168.8522265
2020,September,Plant_1,Customer_16,Primary_Market_Code_1,Material_Type_1,31.0725
2021,February,Plant_1,Customer_16,Primary_Market_Code_1,Material_Type_1,50.45
2021,June,Plant_1,Customer_16,Primary_Market_Code_1,Material_Type_1,5.4025
2020,September,Plant_6,Customer_56,Primary_Market_Code_2,Material_Type_6,156.6095
2020,March,Plant_6,Customer_56,Primary_Market_Code_2,Material_Type_6,140.9395
2020,December,Plant_6,Customer_56,Primary_Market_Code_2,Material_Type_6,36.775
2021,October,Plant_6,Customer_56,Primary_Market_Code_2,Material_Type_6,146.935
2021,July,Plant_6,Customer_56,Primary_Market_Code_2,Material_Type_6,165.81
2020,May,Plant_8,Customer_56,Primary_Market_Code_2,Material_Type_6,214.853
2021,May,Plant_8,Customer_56,Primary_Market_Code_2,Material_Type_6,167.8165
2020,December,Plant_8,Customer_56,Primary_Market_Code_2,Material_Type_6,63.017
2022,January,Plant_8,Customer_56,Primary_Market_Code_2,Material_Type_6,5.97
2020,May,Plant_8,Customer_56,Primary_Market_Code_13,Material_Type_6,12.772
2021,December,Plant_6,Customer_56,Primary_Market_Code_2,Material_Type_5,2.91
2020,May,Plant_8,Customer_56,Primary_Market_Code_17,Material_Type_12,857.59172
2020,June,Plant_8,Customer_56,Primary_Market_Code_17,Material_Type_12,670.913987
2020,March,Plant_8,Customer_56,Primary_Market_Code_17,Material_Type_12,890.6797992
2021,October,Plant_8,Customer_56,Primary_Market_Code_17,Material_Type_12,166.111945
2021,February,Plant_6,Customer_56,Primary_Market_Code_17,Material_Type_12,585.6858366
2020,July,Plant_6,Customer_56,Primary_Market_Code_2,Material_Type_12,2.1712818
2020,October,Plant_6,Customer_56,Primary_Market_Code_26,Material_Type_12,125.2922059
2021,April,Plant_6,Customer_56,Primary_Market_Code_26,Material_Type_12,57.8730969
2020,May,Plant_6,Customer_56,Primary_Market_Code_26,Material_Type_12,44.816042
2021,December,Plant_6,Customer_56,Primary_Market_Code_26,Material_Type_12,169.0029514
2020,November,Plant_6,Customer_56,Primary_Market_Code_17,Material_Type_12,230.054846
2020,August,Plant_6,Customer_56,Primary_Market_Code_2,Material_Type_12,37.6989056
2020,December,Plant_3,Customer_802,Primary_Market_Code_17,Material_Type_12,3.3368771
2020,August,Plant_3,Customer_802,Primary_Market_Code_10,Material_Type_7,0
2020,March,Plant_3,Customer_611,Primary_Market_Code_3,Material_Type_5,9.325
2020,September,Plant_3,Customer_611,Primary_Market_Code_17,Material_Type_12,4.2391614
2021,March,Plant_1,Customer_1163,Primary_Market_Code_17,Material_Type_12,5.8326255
2022,February,Plant_1,Customer_1163,Primary_Market_Code_17,Material_Type_12,0.521664
2022,January,Plant_12,Customer_919,Primary_Market_Code_17,Material_Type_12,14.254
2021,February,Plant_5,Customer_81,Primary_Market_Code_26,Material_Type_12,145.335
2020,May,Plant_5,Customer_81,Primary_Market_Code_17,Material_Type_12,1012.1185
2020,March,Plant_5,Customer_81,Primary_Market_Code_17,Material_Type_12,740.278
2020,July,Plant_5,Customer_81,Primary_Market_Code_17,Material_Type_12,415.0465
2020,September,Plant_5,Customer_81,Primary_Market_Code_17,Material_Type_12,312.645
2021,January,Plant_5,Customer_81,Primary_Market_Code_17,Material_Type_12,252.09
2020,May,Plant_5,Customer_81,Primary_Market_Code_26,Material_Type_12,1226.8825
2020,June,Plant_5,Customer_81,Primary_Market_Code_26,Material_Type_12,1131.235
2021,November,Plant_5,Customer_81,Primary_Market_Code_26,Material_Type_12,435.15
2021,June,Plant_5,Customer_81,Primary_Market_Code_26,Material_Type_12,954.2125
2021,August,Plant_5,Customer_81,Primary_Market_Code_11,Material_Type_1,228.16
2020,October,Plant_5,Customer_81,Primary_Market_Code_1,Material_Type_1,65.47
2021,April,Plant_5,Customer_81,Primary_Market_Code_1,Material_Type_1,37.53
2021,November,Plant_5,Customer_81,Primary_Market_Code_1,Material_Type_1,19.335
2020,June,Plant_5,Customer_81,Primary_Market_Code_1,Material_Type_1,83.527
2021,September,Plant_5,Customer_81,Primary_Market_Code_1,Material_Type_1,0
2020,November,Plant_3,Customer_35,Primary_Market_Code_2,Material_Type_6,87.1275
2020,August,Plant_3,Customer_35,Primary_Market_Code_2,Material_Type_6,134.9175
2020,September,Plant_3,Customer_35,Primary_Market_Code_2,Material_Type_6,124.3275
2021,December,Plant_3,Customer_35,Primary_Market_Code_2,Material_Type_6,81.0375
2020,March,Plant_6,Customer_35,Primary_Market_Code_2,Material_Type_6,183.044
2021,March,Plant_6,Customer_35,Primary_Market_Code_2,Material_Type_6,124.875
2021,November,Plant_3,Customer_35,Primary_Market_Code_2,Material_Type_6,215.4225
2021,March,Plant_3,Customer_35,Primary_Market_Code_2,Material_Type_5,2.0675
2020,June,Plant_3,Customer_35,Primary_Market_Code_2,Material_Type_5,35.33
2022,February,Plant_3,Customer_35,Primary_Market_Code_2,Material_Type_5,5.42
2020,July,Plant_7,Customer_35,Primary_Market_Code_2,Material_Type_10,80.2
2021,October,Plant_7,Customer_35,Primary_Market_Code_2,Material_Type_10,55.7225
2020,March,Plant_7,Customer_35,Primary_Market_Code_2,Material_Type_10,120.575
2022,February,Plant_7,Customer_35,Primary_Market_Code_2,Material_Type_10,92.46
2020,October,Plant_3,Customer_35,Primary_Market_Code_2,Material_Type_10,4.165
2021,January,Plant_3,Customer_35,Primary_Market_Code_2,Material_Type_10,6.325
2020,September,Plant_6,Customer_35,Primary_Market_Code_17,Material_Type_12,627.3398572
2020,July,Plant_3,Customer_35,Primary_Market_Code_17,Material_Type_12,514.9238619
2021,March,Plant_3,Customer_35,Primary_Market_Code_17,Material_Type_12,420.6063508
2021,May,Plant_3,Customer_35,Primary_Market_Code_17,Material_Type_12,364.197526
2021,April,Plant_3,Customer_35,Primary_Market_Code_17,Material_Type_12,484.989386
2021,June,Plant_6,Customer_35,Primary_Market_Code_17,Material_Type_12,2230.223858
2020,August,Plant_6,Customer_35,Primary_Market_Code_17,Material_Type_12,254.251
2021,February,Plant_7,Customer_35,Primary_Market_Code_17,Material_Type_12,585.8575
2021,July,Plant_7,Customer_35,Primary_Market_Code_17,Material_Type_12,649.3365
2020,August,Plant_3,Customer_35,Primary_Market_Code_17,Material_Type_12,346.7743825
2020,December,Plant_7,Customer_35,Primary_Market_Code_17,Material_Type_12,476.104
2022,January,Plant_3,Customer_35,Primary_Market_Code_17,Material_Type_12,161.8470323
2021,April,Plant_2,Customer_35,Primary_Market_Code_17,Material_Type_12,18.08
2021,March,Plant_2,Customer_35,Primary_Market_Code_17,Material_Type_12,22.3
2021,November,Plant_2,Customer_35,Primary_Market_Code_17,Material_Type_12,21.92
2022,February,Plant_2,Customer_35,Primary_Market_Code_17,Material_Type_12,6.985
2022,January,Plant_2,Customer_35,Primary_Market_Code_17,Material_Type_12,6.985
2021,July,Plant_7,Customer_35,Primary_Market_Code_2,Material_Type_2,135.66
2021,June,Plant_7,Customer_35,Primary_Market_Code_2,Material_Type_2,200.71
2020,June,Plant_7,Customer_35,Primary_Market_Code_2,Material_Type_2,101.2925
2021,December,Plant_7,Customer_35,Primary_Market_Code_2,Material_Type_2,104.005
2021,January,Plant_7,Customer_35,Primary_Market_Code_2,Material_Type_2,55.8825
2021,April,Plant_2,Customer_35,Primary_Market_Code_2,Material_Type_2,0
2020,August,Plant_2,Customer_35,Primary_Market_Code_2,Material_Type_2,4.82
2020,July,Plant_2,Customer_35,Primary_Market_Code_2,Material_Type_2,0
2022,February,Plant_15,Customer_403,Primary_Market_Code_17,Material_Type_12,0.175098
2020,July,Plant_2,Customer_359,Primary_Market_Code_17,Material_Type_12,9.265
2020,December,Plant_2,Customer_359,Primary_Market_Code_1,Material_Type_2,36.45
2020,April,Plant_2,Customer_359,Primary_Market_Code_13,Material_Type_2,2.1925
2020,June,Plant_6,Customer_377,Primary_Market_Code_7,Material_Type_6,0
2020,May,Plant_6,Customer_377,Primary_Market_Code_7,Material_Type_5,0.518
2021,April,Plant_1,Customer_377,Primary_Market_Code_20,Material_Type_2,0
2020,July,Plant_1,Customer_283,Primary_Market_Code_17,Material_Type_12,79.68
2021,July,Plant_7,Customer_283,Primary_Market_Code_17,Material_Type_12,130.56
2021,January,Plant_7,Customer_283,Primary_Market_Code_17,Material_Type_12,22.43
2020,August,Plant_1,Customer_283,Primary_Market_Code_17,Material_Type_12,180.655
2022,January,Plant_1,Customer_283,Primary_Market_Code_1,Material_Type_1,41.94
2020,June,Plant_1,Customer_283,Primary_Market_Code_1,Material_Type_1,10.46
2020,December,Plant_1,Customer_283,Primary_Market_Code_1,Material_Type_1,17.95
2021,February,Plant_1,Customer_283,Primary_Market_Code_1,Material_Type_1,17.95
2020,November,Plant_1,Customer_283,Primary_Market_Code_1,Material_Type_1,17.95
2020,March,Plant_1,Customer_283,Primary_Market_Code_1,Material_Type_1,62.99
2020,September,Plant_7,Customer_283,Primary_Market_Code_1,Material_Type_2,19.22
2020,April,Plant_7,Customer_283,Primary_Market_Code_13,Material_Type_2,0
2020,March,Plant_1,Customer_132,Primary_Market_Code_17,Material_Type_12,388.307
2020,September,Plant_1,Customer_132,Primary_Market_Code_17,Material_Type_12,68.6785
2020,October,Plant_1,Customer_132,Primary_Market_Code_17,Material_Type_12,90.568
2021,May,Plant_1,Customer_132,Primary_Market_Code_4,Material_Type_1,113.11
2021,November,Plant_1,Customer_132,Primary_Market_Code_1,Material_Type_1,88.09
2021,August,Plant_1,Customer_132,Primary_Market_Code_1,Material_Type_1,87.46
2020,October,Plant_1,Customer_132,Primary_Market_Code_4,Material_Type_1,26.47
2022,January,Plant_1,Customer_132,Primary_Market_Code_1,Material_Type_1,0
2020,March,Plant_8,Customer_381,Primary_Market_Code_20,Material_Type_9,0
2020,April,Plant_8,Customer_381,Primary_Market_Code_20,Material_Type_9,15.094
2021,March,Plant_8,Customer_381,Primary_Market_Code_20,Material_Type_9,0
2020,December,Plant_3,Customer_366,Primary_Market_Code_2,Material_Type_5,1.2425
2020,December,Plant_3,Customer_366,Primary_Market_Code_17,Material_Type_12,4.8235845
2020,March,Plant_7,Customer_615,Primary_Market_Code_21,Material_Type_8,18.661
2021,April,Plant_7,Customer_615,Primary_Market_Code_21,Material_Type_8,0
2021,June,Plant_7,Customer_615,Primary_Market_Code_21,Material_Type_8,0
